Account,sentiment_class,total_pnl,avg_pnl,win_rate,avg_leverage,avg_trade_size,trade_count,profit_factor
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,20496.054182,213.50056439583332,0.625,8.614583333333334,5372.605729166667,96,9.441976757787813
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,296781.722858,495.46197472120207,0.9532554257095158,9.146911519198664,13747.096393989983,599,376.0567442319058
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,96392.783186,133.6931805631068,0.9375866851595007,9.439667128987518,4301.792149791956,721,11.194391275153695
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,97380.090931,192.45077259090908,1.0,9.480237154150197,5802.847984189723,506,inf
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,74346.546606,467.5883434339623,1.0,5.660377358490566,31858.52710691824,159,inf
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,129217.68646,145.18841175280897,0.9168539325842696,5.355056179775281,25560.854662921345,890,15.997509612093648
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,-19126.158064,-40.09676742976939,0.8616352201257862,6.960167714884696,18327.149287211738,477,0.8313835456838229
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,79023.471493,93.07829386690224,0.944640753828033,5.8916372202591285,19909.506937573617,849,3.0724635604138446
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,45514.323221,79.29324602961672,0.9494773519163763,5.371080139372823,19803.055470383275,574,1.8189814823926904
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,-71121.820704,-453.0052274140127,0.6687898089171974,10.299363057324841,11894.717579617834,157,0.22792808381931992
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,367166.216924,142.53346930279503,0.860248447204969,6.987577639751553,42369.54795807454,2576,8.694731019700678
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,163047.664946,124.84507269984687,0.9134762633996937,7.189892802450229,38865.21359111792,1306,401.5569763621028
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,381330.49405,264.2622966389466,0.9667359667359667,8.094248094248094,32646.96814275814,1443,13.221549162004978
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,2037.258612,44.288230695652175,0.9565217391304348,10.195652173913043,1415.0113043478261,46,2264.9980130021677
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,73192.077142,478.37958916339863,1.0,12.529411764705882,634.57477124183,153,inf
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,2040.359057,24.88242752439024,0.9634146341463414,11.012195121951219,1429.7191463414633,82,23.009695258198413
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,30203.401038,247.5688609672131,1.0,12.950819672131148,407.865,122,inf
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,1258.120923,54.70090969565217,1.0,12.391304347826088,551.3,23,inf
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,33980.0,108.91025641025641,1.0,9.60576923076923,4660.096506410257,312,inf
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,-58219.752261,-373.20354013461537,0.32051282051282054,10.314102564102564,5576.962884615385,156,0.03691090386980906
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,453595.31817600003,1686.2279486096656,0.6988847583643123,8.810408921933085,11964.113531598514,269,74.7553362887805
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,198900.56161,1063.6393668983958,0.49732620320855614,10.620320855614974,2905.1622459893047,187,15.051889518831882
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,573.585288,573.585288,1.0,20.0,573.59,1,inf
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,144514.3446,473.81752327868855,0.9114754098360656,11.226229508196722,1648.318557377049,305,6.8337095440106665
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,63549.71113,962.8744110606061,1.0,10.242424242424242,3317.289090909091,66,inf
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,-4526.698469,-905.3396938,0.0,15.6,2040.0,5,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,25672.838055,88.22281118556701,0.993127147766323,10.422680412371134,1883.063092783505,291,5.393740696871831
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,210726.855269,61.364838459231215,0.953407105416424,11.02096680256261,1779.666281304601,3434,26.693251186676573
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,49364.275663,32.95345504873164,0.8658210947930574,11.502670226969292,1083.6633177570093,1498,15.808818639392939
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,95937.394195,42.82919383705357,0.9441964285714286,11.201785714285714,1471.1537410714286,2240,19.009151266144595
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,-2605.9564710000004,-2.17707307518797,0.87468671679198,12.557226399331663,1158.0852213868004,1197,0.9040040693810012
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,3222.822132,8.117939879093198,0.9848866498740554,10.365239294710328,3559.816498740554,397,7.921807293208346
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,1260.832586,1260.832586,1.0,10.0,12912.0,1,inf
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,4036.552319,14.064642226480835,0.8885017421602788,10.24390243902439,3469.0327526132405,287,6.147752309922683
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,6775.291988000001,153.98390881818185,1.0,9.636363636363637,3462.250681818182,44,inf
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,-395.0559780000001,-23.238586941176475,0.8235294117647058,4.470588235294118,20344.644117647058,17,0.6286879351312328
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,12713.493131000001,231.1544205636364,0.8,12.072727272727272,5383.615454545454,55,3.7679863331476744
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,-19135.913281,-546.7403794571429,0.14285714285714285,11.2,4037.18,35,0.04141895262793599
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,151292.732859,249.2466768682043,0.8533772652388797,11.813838550247118,2307.7227182866554,607,11.483075457100014
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,-360101.898234,-279.14875832093026,0.7007751937984497,10.88217054263566,1968.0197286821706,1290,0.19202600454409796
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,47610.460743999996,134.49282696045196,0.8192090395480226,10.070621468926554,2811.031638418079,354,10.3771557112844
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,-4825.496358,-193.01985432,0.4,8.16,5846.1848,25,0.02877969947729457
