Coin,total_pnl,avg_pnl,win_rate,trade_count,volume,profit_factor
VINE,4777.252708,14.00953873313783,0.9266862170087976,341,324850.14,19.943997850531094
CHILLGUY,4727.794586,35.02070063703704,0.8888888888888888,135,135073.28,38.634329256467375
ZETA,4622.601501,20.098267395652176,0.9869565217391304,230,157247.53,333.8373464463688
LINK,4601.098394,26.90700815204678,0.8830409356725146,171,222352.22,9.854102000125812
MEME,4457.20042,79.59286464285715,0.8928571428571429,56,88211.11,35.673430220144446
XRP,3756.901464999999,4.298514262013729,0.6544622425629291,874,2696464.32,1.089135470817097
TST,3357.994369,27.752019578512396,0.7603305785123967,121,286704.77,2.4687270824966974
BLUR,3353.129145,54.96933024590164,0.9672131147540983,61,93084.09,201269.25600240103
IP,3043.288104,11.398082786516854,0.9550561797752809,267,266998.19,4.687561637670735
COMP,2814.398024,42.6423943030303,0.8636363636363636,66,58260.03,69.86995261859434
ACE,2760.71491,120.03108304347826,1.0,23,37392.21,inf
MOVE,2562.894536,27.558005763440857,0.978494623655914,93,65656.43000000001,17.769392984891706
@59,2557.105607,319.638200875,1.0,8,7310.69,inf
PROMPT,2377.976177,20.67805371304348,0.6173913043478261,115,116551.54,10.489196302113339
SAND,2213.437927,31.620541814285712,0.8857142857142857,70,46807.55,36.49766470616555
VVV,2212.897418,30.313663260273973,0.9178082191780822,73,107280.93000000001,53.116106644153106
HPOS,1979.33753,32.4481562295082,0.8852459016393442,61,38042.39,2.3709084083510295
HBAR,1909.508064,16.18227172881356,0.8983050847457628,118,37019.51,55.12848542957752
BIGTIME,1838.5441700000001,51.07067138888889,0.8888888888888888,36,61076.7,21.541612609129935
PYTH,1824.119272,29.42127858064516,0.8387096774193549,62,186751.14,3.2817420254471603
OGN,1752.668422,6.819721486381323,1.0,257,28247.47,inf
APT,1749.189965,54.66218640625,1.0,32,81126.8,inf
SCR,1612.97536,76.80835047619047,1.0,21,25702.99,inf
kFLOKI,1607.436125,80.37180624999999,1.0,20,19443.43,inf
NTRN,1601.759155,22.882273642857143,0.8428571428571429,70,124394.06,6.322602444400213
W,1593.757483,7.736686810679612,0.9902912621359223,206,152587.82,4232.738842865488
STX,1583.885992,29.884641358490565,1.0,53,64722.42,inf
WCT,1531.72532,58.91251230769231,1.0,26,28468.56,inf
MANTA,1483.648906,27.47497974074074,0.8333333333333334,54,38310.11,120.51284140711182
BADGER,1439.733233,19.72237305479452,0.8493150684931506,73,76138.16,32.040664725331375
MKR,1416.279513,27.23614448076923,0.9615384615384616,52,15109.33,4101.700725298588
BIO,1298.512254,8.166743735849057,0.8238993710691824,159,75644.1,29.335269918557533
GRASS,1253.272989,10.026183912,0.872,125,78317.14,2.6887588551729076
XAI,1074.213807,179.03563450000001,1.0,6,31986.62,inf
YGG,1043.757286,49.70272790476191,1.0,21,26244.940000000002,inf
CAKE,1022.846751,32.99505648387097,0.6774193548387096,31,19359.91,14.594647576797708
BRETT,958.287363,8.955956663551403,0.7663551401869159,107,72918.38,2.096402089134491
HYPER,874.4737,30.15426551724138,1.0,29,59126.33,inf
GMX,699.433714,17.934197794871796,1.0,39,24693.989999999998,inf
TRX,670.1615039999999,26.806460159999997,0.44,25,36537.19,23.487092633755555
MATIC,668.931017,35.206895631578945,0.5263157894736842,19,116115.59,3.2692998916346747
BLAST,632.386224,28.744828363636362,1.0,22,10898.92,inf
POLYX,618.133683,47.548744846153845,1.0,13,16643.81,inf
SUSHI,605.441925,13.454265,0.7555555555555555,45,23666.45,2.432129104495479
IMX,540.2160399999999,16.881751249999997,0.96875,32,5763.05,398.3345395704618
DYDX,539.164485,16.84889015625,0.90625,32,19213.29,95.56791263538247
@1,496.746238,27.597013222222223,0.7222222222222222,18,2076.79,4.271002240503699
MORPHO,421.871013,14.547276310344827,1.0,29,34939.96,inf
PIXEL,405.89459999999997,22.549699999999998,0.8888888888888888,18,17342.41,14.191030369997236
@74,371.633249,74.3266498,1.0,5,372.73,inf
@125,370.264567,26.44746907142857,0.6428571428571429,14,3045.97,2.2138844114808625
INIT,364.5007,24.300046666666667,1.0,15,24348.690000000002,inf
PEOPLE,360.646005,360.646005,1.0,1,860.57,inf
UNI,347.766005,15.807545681818182,0.7272727272727273,22,22029.2,7.197145018031215
USTC,346.69317,13.334352692307693,0.8461538461538461,26,5523.72,135.67149142195228
GMT,328.62974099999997,6.8464529375,0.9583333333333334,48,33066.74,24.692020433563666
UNIBOT,325.055769,162.5278845,1.0,2,1329.15,inf
LDO,306.921971,6.530254702127659,0.9787234042553191,47,17485.21,8.969626575070041
BNB,303.200972,3.79001215,0.75,80,206900.57,1.2905845080782987
@37,298.859201,49.80986683333333,0.8333333333333334,6,1052.94,37.25227226274052
kSHIB,279.13726399999996,14.69143494736842,0.631578947368421,19,42075.28,1.7697042878761737
SHIA,273.568643,91.18954766666667,1.0,3,776.31,inf
FET,229.1654,9.166616,0.88,25,53096.48,77.65030410549102
LOOM,215.057055,107.5285275,1.0,2,965.39,inf
ETC,205.04848,68.34949333333334,1.0,3,1028.3899999999999,inf
AR,203.38219999999998,18.489290909090908,1.0,11,5053.25,inf
MINA,198.7045,28.386357142857143,1.0,7,6023.92,inf
DOT,193.48789299999999,4.116763680851063,0.9148936170212766,47,61655.54,16.62925357364848
CYBER,191.5296,191.5296,1.0,1,691.62,inf
GALA,184.138024,12.275868266666667,0.8,15,9436.69,52.59091167616227
STG,179.54376000000002,35.90875200000001,1.0,5,5447.41,inf
RSR,165.431328,7.192666434782609,0.9565217391304348,23,9865.77,427.60029397354236
REZ,163.08528,9.060293333333334,0.7777777777777778,18,6212.94,22.393101249923753
@8,162.720529,13.560044083333333,0.8333333333333334,12,1397.71,277.94754318781384
DYM,122.891343,17.555906142857143,0.8571428571428571,7,7320.72,1.457321129255647
ZK,99.656693,3.11427165625,0.9375,32,1707.75,185.6492788693145
ORDI,99.593622,5.241769578947368,1.0,19,9832.98,inf
BABY,98.7298,49.3649,1.0,2,2001.0300000000002,inf
AI,94.826156,3.269867448275862,0.9655172413793104,29,8197.98,14.344874497787794
ATOM,88.234264,2.2058565999999997,0.875,40,3788.81,8.415722117585162
RLB,75.947736,37.973868,1.0,2,919.42,inf
@53,67.86470700000001,33.932353500000005,1.0,2,69.77000000000001,inf
@35,67.028127,33.5140635,1.0,2,68.21000000000001,inf
GAS,60.6139,60.6139,1.0,1,339.46,inf
MYRO,53.47767,4.113666923076924,1.0,13,23584.44,inf
@138,50.950684,12.737671,1.0,4,109.53999999999999,inf
@47,50.313458,25.156729,1.0,2,51.099999999999994,inf
@103,38.558036,9.639509,1.0,4,40.0,inf
@41,36.73844,36.73844,1.0,1,37.23,inf
@153,35.217067,0.3486838316831683,1.0,101,117912.91,inf
SUPER,35.197902,8.7994755,1.0,4,629.09,inf
NEIROETH,34.161578,34.161578,1.0,1,187.77,inf
@38,33.271993,33.271993,1.0,1,33.36,inf
@31,33.212273,33.212273,1.0,1,33.61,inf
MEW,32.46208,4.63744,1.0,7,636.41,inf
@100,27.627142,13.813571,1.0,2,32.65,inf
ARK,27.189288,1.0457418461538461,0.6923076923076923,26,5095.53,1.4499964846724436
ALGO,18.36352,4.59088,0.75,4,1924.6200000000001,74.92721417069242
@113,16.92622,8.46311,1.0,2,17.2,inf
@93,15.954796,15.954796,1.0,1,16.33,inf
@36,15.663073,15.663073,1.0,1,16.09,inf
@33,13.566929,6.7834645,1.0,2,15.14,inf
BOME,12.248102000000001,4.082700666666667,0.6666666666666666,3,653.55,2.225490837611209
@39,12.238556,12.238556,1.0,1,12.57,inf
@40,12.149683,3.03742075,0.5,4,213.45,1.8949349192239393
kNEIRO,5.319437000000001,1.773145666666667,0.6666666666666666,3,438.47,2.87283808657371
